createAt,manageObject,M8076C0
2025-05-07T13:30:00.000-04:00:00,NE-MRBTS-690501,1270592
2025-05-07T14:00:00.000-04:00:00,NE-MRBTS-690501,1288110
2025-05-07T14:15:00.000-04:00:00,NE-MRBTS-690501,1209692
2025-05-07T14:30:00.000-04:00:00,NE-MRBTS-690501,1057236
2025-05-07T15:00:00.000-04:00:00,NE-MRBTS-690501,1176553
2025-05-07T15:15:00.000-04:00:00,NE-MRBTS-690501,1107608
2025-05-07T15:30:00.000-04:00:00,NE-MRBTS-690501,1200617
2025-05-07T16:00:00.000-04:00:00,NE-MRBTS-690501,1064803
2025-05-07T16:15:00.000-04:00:00,NE-MRBTS-690501,1034866
2025-05-07T16:30:00.000-04:00:00,NE-MRBTS-690501,1502842
2025-05-07T17:00:00.000-04:00:00,NE-MRBTS-690501,1359922
2025-05-07T17:15:00.000-04:00:00,NE-MRBTS-690501,1426896
2025-05-07T17:30:00.000-04:00:00,NE-MRBTS-690501,1265548
2025-05-07T18:00:00.000-04:00:00,NE-MRBTS-690501,1392406
2025-05-07T18:15:00.000-04:00:00,NE-MRBTS-690501,1210437
