createAt,manageObject,M8039C6,M8039C4,M8039C5
2025-05-08T02:30:00.000-04:00:00,NE-MRBTS-660701,110,,
2025-05-08T02:45:00.000-04:00:00,NE-MRBTS-660701,117,,
2025-05-08T03:00:00.000-04:00:00,NE-MRBTS-660701,119,,
2025-05-08T03:15:00.000-04:00:00,NE-MRBTS-660701,115,,
2025-05-08T03:30:00.000-04:00:00,NE-MRBTS-660701,110,,
2025-05-08T03:45:00.000-04:00:00,NE-MRBTS-660701,118,,
2025-05-08T04:00:00.000-04:00:00,NE-MRBTS-660701,119,,
2025-05-08T04:15:00.000-04:00:00,NE-MRBTS-660701,119,,
2025-05-08T04:30:00.000-04:00:00,NE-MRBTS-660701,115,,
2025-05-08T04:45:00.000-04:00:00,NE-MRBTS-660701,110,,
2025-05-08T05:00:00.000-04:00:00,NE-MRBTS-660701,118,,
2025-05-08T05:15:00.000-04:00:00,NE-MRBTS-660701,118,,
2025-05-08T05:30:00.000-04:00:00,NE-MRBTS-660701,113,,
2025-05-08T05:45:00.000-04:00:00,NE-MRBTS-660701,114,,
2025-05-08T06:00:00.000-04:00:00,NE-MRBTS-660701,112,,
2025-05-08T06:15:00.000-04:00:00,NE-MRBTS-660701,116,,
2025-05-08T06:30:00.000-04:00:00,NE-MRBTS-660701,117,,
2025-05-08T06:45:00.000-04:00:00,NE-MRBTS-660701,117,,
2025-05-08T07:00:00.000-04:00:00,NE-MRBTS-660701,112,,
2025-05-08T07:15:00.000-04:00:00,NE-MRBTS-660701,116,,
2025-05-08T07:30:00.000-04:00:00,NE-MRBTS-660701,109,,
2025-05-08T07:45:00.000-04:00:00,NE-MRBTS-660701,107,,
2025-05-08T08:00:00.000-04:00:00,NE-MRBTS-660701,110,,
2025-05-08T08:15:00.000-04:00:00,NE-MRBTS-660701,111,,
2025-05-08T08:30:00.000-04:00:00,NE-MRBTS-660701,118,,
2025-05-08T08:45:00.000-04:00:00,NE-MRBTS-660701,113,,
2025-05-08T09:00:00.000-04:00:00,NE-MRBTS-660701,115,,
2025-05-08T09:15:00.000-04:00:00,NE-MRBTS-660701,116,,
2025-05-08T09:30:00.000-04:00:00,NE-MRBTS-660701,116,,
2025-05-08T09:45:00.000-04:00:00,NE-MRBTS-660701,111,,
2025-05-08T10:00:00.000-04:00:00,NE-MRBTS-660701,119,,
2025-05-08T10:15:00.000-04:00:00,NE-MRBTS-660701,114,,
2025-05-08T10:30:00.000-04:00:00,NE-MRBTS-660701,116,,
2025-05-08T10:45:00.000-04:00:00,NE-MRBTS-660701,116,,
2025-05-08T11:00:00.000-04:00:00,NE-MRBTS-660701,120,,
2025-05-08T11:15:00.000-04:00:00,NE-MRBTS-660701,119,,
2025-05-08T11:30:00.000-04:00:00,NE-MRBTS-660701,114,,
2025-05-08T11:45:00.000-04:00:00,NE-MRBTS-660701,115,,
2025-05-08T12:00:00.000-04:00:00,NE-MRBTS-660701,120,,
2025-05-08T12:15:00.000-04:00:00,NE-MRBTS-660701,118,,
2025-05-08T12:30:00.000-04:00:00,NE-MRBTS-660701,116,,
2025-05-08T12:45:00.000-04:00:00,NE-MRBTS-660701,116,,
2025-05-08T13:00:00.000-04:00:00,NE-MRBTS-660701,117,,
2025-05-08T13:15:00.000-04:00:00,NE-MRBTS-660701,113,,
2025-05-08T13:30:00.000-04:00:00,NE-MRBTS-660701,114,,
2025-05-08T13:45:00.000-04:00:00,NE-MRBTS-660701,119,,
2025-05-08T14:00:00.000-04:00:00,NE-MRBTS-660701,116,,
2025-05-08T14:15:00.000-04:00:00,NE-MRBTS-660701,114,,
2025-05-08T14:30:00.000-04:00:00,NE-MRBTS-660701,115,,
2025-05-08T14:45:00.000-04:00:00,NE-MRBTS-660701,119,,
2025-05-08T15:00:00.000-04:00:00,NE-MRBTS-660701,119,,
2025-05-08T15:15:00.000-04:00:00,NE-MRBTS-660701,119,,
2025-05-08T15:30:00.000-04:00:00,NE-MRBTS-660701,119,,
2025-05-06T15:00:00.000-03:00:00,NE-MRBTS-414225,25,16.0,848.0
2025-05-06T15:15:00.000-03:00:00,NE-MRBTS-414225,23,176.0,656.0
2025-05-06T15:30:00.000-03:00:00,NE-MRBTS-414225,24,160.0,576.0
2025-05-06T16:00:00.000-03:00:00,NE-MRBTS-414225,19,320.0,480.0
2025-05-06T16:15:00.000-03:00:00,NE-MRBTS-414225,49,,176.0
2025-05-06T16:30:00.000-03:00:00,NE-MRBTS-414225,41,16.0,240.0
2025-05-06T16:45:00.000-03:00:00,NE-MRBTS-414225,28,144.0,480.0
2025-05-06T17:00:00.000-03:00:00,NE-MRBTS-414225,27,80.0,656.0
2025-05-06T17:15:00.000-03:00:00,NE-MRBTS-414225,28,80.0,560.0
2025-05-06T17:30:00.000-03:00:00,NE-MRBTS-414225,34,48.0,352.0
2025-05-06T17:45:00.000-03:00:00,NE-MRBTS-414225,45,16.0,144.0
2025-05-06T18:00:00.000-03:00:00,NE-MRBTS-414225,43,,160.0
2025-05-06T18:15:00.000-03:00:00,NE-MRBTS-414225,45,,256.0
2025-05-06T18:30:00.000-03:00:00,NE-MRBTS-414225,48,,80.0
2025-05-06T18:45:00.000-03:00:00,NE-MRBTS-414225,37,48.0,336.0
2025-05-06T19:00:00.000-03:00:00,NE-MRBTS-414225,31,48.0,544.0
2025-05-06T19:15:00.000-03:00:00,NE-MRBTS-414225,26,224.0,432.0
2025-05-06T19:30:00.000-03:00:00,NE-MRBTS-414225,18,384.0,496.0
