createAt,manageObject,M8066C17,M8066C19,M8066C29,M8066C30,M8066C56,M8066C57,M8066C55,M8066C14,M8066C15,M8066C16,M8066C18,M8066C58,M8066C20,M8066C27
2025-05-08T08:30:00.000-04:00:00,NE-MRBTS-660701,146250,630037,,,,,,,,,,,,
2025-05-08T08:45:00.000-04:00:00,NE-MRBTS-660701,146250,629971,,,,,,,,,,,,
2025-05-08T09:00:00.000-04:00:00,NE-MRBTS-660701,146250,630037,,,,,,,,,,,,
2025-05-08T09:15:00.000-04:00:00,NE-MRBTS-660701,146250,629971,,,,,,,,,,,,
2025-05-08T09:30:00.000-04:00:00,NE-MRBTS-660701,146250,630005,,,,,,,,,,,,
2025-05-08T09:45:00.000-04:00:00,NE-MRBTS-660701,146250,630003,,,,,,,,,,,,
2025-05-08T10:00:00.000-04:00:00,NE-MRBTS-660701,146250,629973,,,,,,,,,,,,
2025-05-08T10:15:00.000-04:00:00,NE-MRBTS-660701,146250,630035,,,,,,,,,,,,
2025-05-08T10:30:00.000-04:00:00,NE-MRBTS-660701,146250,629973,,,,,,,,,,,,
2025-05-08T10:45:00.000-04:00:00,NE-MRBTS-660701,146250,630035,,,,,,,,,,,,
2025-05-08T11:00:00.000-04:00:00,NE-MRBTS-660701,146250,629973,,,,,,,,,,,,
2025-05-08T11:15:00.000-04:00:00,NE-MRBTS-660701,146250,630019,,,,,,,,,,,,
2025-05-08T11:30:00.000-04:00:00,NE-MRBTS-660701,146250,629989,,,,,,,,,,,,
2025-05-08T11:45:00.000-04:00:00,NE-MRBTS-660701,146250,629987,,,,,,,,,,,,
2025-05-08T12:00:00.000-04:00:00,NE-MRBTS-660701,146250,630021,,,,,,,,,,,,
2025-05-08T12:15:00.000-04:00:00,NE-MRBTS-660701,146250,629971,,,,,,,,,,,,
2025-05-08T12:30:00.000-04:00:00,NE-MRBTS-660701,146250,630037,,,,,,,,,,,,
2025-05-08T12:45:00.000-04:00:00,NE-MRBTS-660701,146250,629971,,,,,,,,,,,,
2025-05-08T13:00:00.000-04:00:00,NE-MRBTS-660701,146250,630037,,,,,,,,,,,,
2025-05-08T13:15:00.000-04:00:00,NE-MRBTS-660701,146250,629971,,,,,,,,,,,,
2025-05-08T13:30:00.000-04:00:00,NE-MRBTS-660701,146250,630005,,,,,,,,,,,,
2025-05-08T13:45:00.000-04:00:00,NE-MRBTS-660701,146250,630003,,,,,,,,,,,,
2025-05-08T14:00:00.000-04:00:00,NE-MRBTS-660701,146250,629973,,,,,,,,,,,,
2025-05-08T14:15:00.000-04:00:00,NE-MRBTS-660701,146250,630035,,,,,,,,,,,,
2025-05-08T14:30:00.000-04:00:00,NE-MRBTS-660701,146250,629973,,,,,,,,,,,,
2025-05-08T14:45:00.000-04:00:00,NE-MRBTS-660701,146250,630035,,,,,,,,,,,,
2025-05-08T15:00:00.000-04:00:00,NE-MRBTS-660701,146250,629973,,,,,,,,,,,,
2025-05-08T15:15:00.000-04:00:00,NE-MRBTS-660701,146250,630019,,,,,,,,,,,,
2025-05-08T15:30:00.000-04:00:00,NE-MRBTS-660701,146250,629989,,,,,,,,,,,,
2025-05-06T15:00:00.000-03:00:00,NE-MRBTS-414225,146250,630016,,,,,,,,,,,,
2025-05-06T15:15:00.000-03:00:00,NE-MRBTS-414225,146250,629992,,,,,,,,,,,,
2025-05-06T15:30:00.000-03:00:00,NE-MRBTS-414225,146250,629984,,,,,,,,,,,,
2025-05-06T16:00:00.000-03:00:00,NE-MRBTS-414225,146250,629968,,,,,,,,,,,,
