createAt,manageObject,M8013C5,M8013C9,M8013C13,M8013C15,M8013C17,M8013C18,M8013C19,M8013C35,M8013C36,M8013C37,M8013C43,M8013C44,M8013C45,M8013C47,M8013C54,M8013C55,M8013C56,M8013C62,M8013C70,M8013C71,M8013C83,M8013C84,M8013C85,M8013C109,M8013C111,M8013C113,M8013C114,M8013C24,M8013C25,M8013C6,M8013C31,M8013C32,M8013C87,M8013C10,M8013C110,M8013C2,M8013C49,M8013C90,M8013C123,M8013C79,M8013C116,M8013C29,M8013C40,M8013C95,M8013C122,M8013C61,M8013C57,M8013C1,M8013C89,M8013C72,M8013C60,M8013C58,M8013C39,M8013C3,M8013C41
2025-05-07T07:15:00.000-03:00:00,NE-MRBTS-621901,568,534.0,31.0,1.0,569,16.0,30.0,522,30.0,16.0,568,569,53.0,53.0,32.0,31.0,,47.0,28.0,3.0,572,16.0,30.0,4.0,,,1.0,2299595.0,4769764.0,46.0,,,,2.0,,,,3.0,,,,,,,,,,,,,,,,,
2025-05-07T07:30:00.000-03:00:00,NE-MRBTS-621901,525,494.0,31.0,,510,19.0,27.0,479,27.0,19.0,525,525,53.0,53.0,31.0,31.0,,47.0,24.0,7.0,512,19.0,27.0,,,,,2041293.0,5050442.0,32.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,
2025-05-07T08:00:00.000-03:00:00,NE-MRBTS-621901,550,521.0,32.0,1.0,543,13.0,21.0,516,21.0,13.0,550,550,36.0,36.0,33.0,32.0,1.0,28.0,26.0,6.0,549,13.0,21.0,2.0,1.0,,,1587288.0,3145297.0,27.0,,,,,,,,6.0,,,,,,,,,,,,,,,,,
2025-05-07T08:15:00.000-03:00:00,NE-MRBTS-621901,600,547.0,43.0,5.0,562,21.0,31.0,548,31.0,21.0,600,600,54.0,54.0,48.0,43.0,1.0,44.0,33.0,10.0,571,21.0,31.0,7.0,2.0,1.0,3.0,1090048.0,3095469.0,14.0,,,,1.0,,,,9.0,,,,,,,,,,,,,,,,,
2025-05-07T08:30:00.000-03:00:00,NE-MRBTS-621901,543,504.0,39.0,3.0,510,14.0,27.0,502,27.0,14.0,543,543,41.0,41.0,42.0,39.0,1.0,29.0,30.0,9.0,522,14.0,27.0,2.0,1.0,,2.0,1134486.0,2828155.0,8.0,,,,,,,,12.0,,,,,,,,,,,,,,,,,
2025-05-07T09:00:00.000-03:00:00,NE-MRBTS-621901,620,580.0,38.0,,584,18.0,20.0,582,20.0,18.0,620,619,40.0,40.0,38.0,38.0,,31.0,31.0,7.0,585,18.0,20.0,,,,,1740712.0,2958272.0,2.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,
2025-05-07T09:15:00.000-03:00:00,NE-MRBTS-621901,669,637.0,30.0,2.0,634,11.0,25.0,633,25.0,11.0,669,670,39.0,39.0,32.0,30.0,1.0,33.0,25.0,5.0,639,11.0,25.0,2.0,1.0,,1.0,1874998.0,2839030.0,1.0,,,,1.0,,,,5.0,,,,,,,,,,,,,,,,,
2025-05-07T09:30:00.000-03:00:00,NE-MRBTS-621901,643,606.0,32.0,5.0,611,15.0,20.0,608,20.0,15.0,643,643,36.0,36.0,37.0,32.0,3.0,31.0,27.0,5.0,616,15.0,20.0,7.0,4.0,,2.0,1628865.0,2541701.0,3.0,,,,,1.0,,,5.0,,,,,,,,,,,,2.0,,,,,
2025-05-07T10:00:00.000-03:00:00,NE-MRBTS-621901,790,775.0,12.0,4.0,788,6.0,7.0,777,7.0,6.0,790,790,13.0,13.0,16.0,12.0,2.0,7.0,9.0,3.0,796,6.0,7.0,9.0,2.0,,2.0,1808933.0,1779668.0,11.0,,,,,,,,8.0,,,,,,,,,,,,,,,,,
2025-05-07T10:15:00.000-03:00:00,NE-MRBTS-621901,751,734.0,17.0,3.0,736,13.0,15.0,723,15.0,13.0,751,753,30.0,30.0,20.0,17.0,3.0,24.0,12.0,5.0,763,13.0,15.0,8.0,3.0,,,1932283.0,2274628.0,13.0,,,,,,,,27.0,,,,,,,,,,,,,,,,,
2025-05-07T10:30:00.000-03:00:00,NE-MRBTS-621901,589,564.0,24.0,,569,8.0,15.0,566,15.0,8.0,589,589,24.0,24.0,24.0,24.0,,13.0,20.0,4.0,576,8.0,15.0,,,,,867139.0,1176849.0,3.0,,,,1.0,,,,7.0,,,,,,,,,,,,,,,,,
2025-05-07T11:00:00.000-03:00:00,NE-MRBTS-621901,674,646.0,26.0,1.0,654,9.0,17.0,648,17.0,9.0,674,673,26.0,26.0,27.0,26.0,1.0,11.0,21.0,5.0,655,9.0,17.0,1.0,1.0,,,1162910.0,1273701.0,6.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,
2025-05-07T11:15:00.000-03:00:00,NE-MRBTS-621901,642,618.0,22.0,,617,7.0,25.0,610,25.0,7.0,642,642,33.0,33.0,22.0,22.0,,20.0,17.0,5.0,638,7.0,25.0,,,,,1008704.0,1049877.0,7.0,,,,,,,,21.0,,,,,,,,,,,,,,,,,
2025-05-07T11:30:00.000-03:00:00,NE-MRBTS-621901,657,633.0,26.0,,631,9.0,22.0,626,22.0,9.0,657,658,31.0,31.0,26.0,26.0,,20.0,20.0,6.0,648,9.0,22.0,,,,,730446.0,1281701.0,5.0,,,,,,,,17.0,,,,,,,,,,,,,,,,,
2025-05-07T12:00:00.000-03:00:00,NE-MRBTS-621901,390,374.0,15.0,,372,8.0,18.0,364,18.0,8.0,390,390,26.0,26.0,15.0,15.0,,17.0,11.0,4.0,385,8.0,18.0,,,,,1077506.0,713504.0,8.0,,,,,,,,13.0,,,,,,,,,,,,,,,,,
2025-05-07T12:15:00.000-03:00:00,NE-MRBTS-621901,350,330.0,22.0,,327,9.0,17.0,324,17.0,9.0,350,350,26.0,26.0,22.0,22.0,,14.0,18.0,4.0,334,9.0,17.0,,,,,806318.0,1005361.0,3.0,,,,,,,,7.0,,,,,,,,,,,,,,,,,
2025-05-07T12:30:00.000-03:00:00,NE-MRBTS-621901,382,364.0,17.0,,359,8.0,18.0,356,18.0,8.0,382,381,26.0,26.0,17.0,17.0,,16.0,13.0,4.0,359,8.0,18.0,,,,,355213.0,1084004.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-07T13:00:00.000-03:00:00,NE-MRBTS-621901,538,524.0,12.0,,521,7.0,12.0,519,12.0,7.0,538,537,19.0,19.0,12.0,12.0,,13.0,10.0,2.0,528,7.0,12.0,,,,,319016.0,1449669.0,2.0,,,,,,,,7.0,,,,,,,,,,,,,,,,,
2025-05-07T13:15:00.000-03:00:00,NE-MRBTS-621901,711,702.0,10.0,,694,3.0,20.0,688,20.0,3.0,711,712,23.0,23.0,10.0,10.0,,17.0,8.0,2.0,702,3.0,20.0,,,,,1243817.0,1256057.0,6.0,,,,,,,,8.0,,,,,,,,,,,,,,,,,
2025-05-07T13:30:00.000-03:00:00,NE-MRBTS-621901,679,658.0,14.0,,662,8.0,16.0,655,16.0,8.0,679,675,24.0,21.0,14.0,14.0,,15.0,14.0,,677,8.0,16.0,1.0,1.0,,,1384879.0,1909729.0,7.0,,,,,,3.0,3.0,15.0,,,4.0,,,,,,,,,,,,,,
2025-05-07T14:00:00.000-03:00:00,NE-MRBTS-621901,708,695.0,12.0,,704,4.0,8.0,696,8.0,4.0,708,707,12.0,12.0,12.0,12.0,,6.0,11.0,1.0,720,4.0,8.0,,,,,612329.0,1518151.0,8.0,,,,,,,,16.0,,,,,,,,,,,,,,,,,
2025-05-07T14:15:00.000-03:00:00,NE-MRBTS-621901,658,647.0,10.0,1.0,651,,10.0,648,10.0,,658,659,11.0,11.0,11.0,10.0,1.0,6.0,10.0,,661,,10.0,2.0,1.0,,,956019.0,1184068.0,3.0,,,,2.0,,,,10.0,,,,,,,,,,,,1.0,,,,,
2025-05-07T14:30:00.000-03:00:00,NE-MRBTS-621901,752,722.0,25.0,3.0,734,8.0,24.0,720,24.0,8.0,752,752,33.0,33.0,28.0,25.0,1.0,23.0,21.0,4.0,763,8.0,24.0,1.0,3.0,1.0,1.0,405612.0,1309408.0,14.0,,,,,,,,29.0,,,,,,,,,,,,1.0,,,,,
2025-05-07T15:00:00.000-03:00:00,NE-MRBTS-621901,679,643.0,36.0,,653,2.0,35.0,642,35.0,2.0,679,680,37.0,37.0,36.0,36.0,,11.0,20.0,16.0,672,2.0,35.0,3.0,1.0,,,1275056.0,1890211.0,11.0,,,,,,,,19.0,,,,,,,,,,,,,,,,,
2025-05-07T15:15:00.000-03:00:00,NE-MRBTS-621901,765,747.0,20.0,,751,5.0,15.0,745,15.0,5.0,765,765,20.0,20.0,20.0,20.0,,12.0,14.0,6.0,759,5.0,15.0,2.0,,,,640649.0,1734489.0,6.0,,,,,,,,8.0,,,,,,,,,,,,,,,,,
2025-05-07T15:30:00.000-03:00:00,NE-MRBTS-621901,662,646.0,14.0,,653,5.0,8.0,649,8.0,5.0,662,660,15.0,15.0,14.0,14.0,,9.0,13.0,1.0,666,5.0,8.0,,,,,841372.0,1139778.0,4.0,,,,,,,,13.0,,,,,,,,,,,,,,,,,
2025-05-07T16:00:00.000-03:00:00,NE-MRBTS-621901,652,637.0,14.0,1.0,644,1.0,13.0,638,13.0,1.0,652,652,15.0,15.0,15.0,14.0,,9.0,13.0,1.0,651,1.0,13.0,2.0,,,,1217119.0,1124069.0,6.0,,,,1.0,,,,7.0,,,,,,,,,1.0,,,,,,,,
2025-05-07T16:15:00.000-03:00:00,NE-MRBTS-621901,782,763.0,19.0,,771,5.0,15.0,762,15.0,5.0,782,782,20.0,20.0,19.0,19.0,,8.0,16.0,3.0,784,5.0,15.0,,,,,306280.0,1184869.0,9.0,,,,,,,,13.0,,,,,,,,,,,,,,,,,
2025-05-07T16:30:00.000-03:00:00,NE-MRBTS-621901,740,725.0,16.0,,731,7.0,8.0,725,8.0,7.0,740,740,15.0,15.0,16.0,16.0,,9.0,13.0,3.0,738,7.0,8.0,,,,,145406.0,764566.0,6.0,,,,,,,,7.0,,,,,,,,,,,,,,,,,
2025-05-07T17:00:00.000-03:00:00,NE-MRBTS-621901,862,843.0,10.0,11.0,854,,10.0,852,10.0,,862,863,10.0,10.0,21.0,10.0,11.0,4.0,10.0,,858,,10.0,24.0,14.0,,,23248.0,168700.0,2.0,,,,,,,,4.0,,,,,,,,,,,,6.0,,,,,
2025-05-07T17:15:00.000-03:00:00,NE-MRBTS-621901,752,737.0,14.0,1.0,746,6.0,12.0,734,12.0,6.0,752,752,20.0,20.0,15.0,14.0,,12.0,13.0,1.0,757,6.0,12.0,2.0,,1.0,,92718.0,303553.0,12.0,,,,,,,,11.0,,,,,,,,,,,,,,,,,
2025-05-07T17:30:00.000-03:00:00,NE-MRBTS-621901,676,658.0,19.0,,666,6.0,11.0,659,11.0,6.0,676,676,18.0,18.0,19.0,19.0,,10.0,17.0,2.0,673,6.0,11.0,,,,,145147.0,523722.0,6.0,,,,,,,,7.0,,,,,,,,,,,,,,,,,
2025-05-07T18:00:00.000-03:00:00,NE-MRBTS-621901,596,570.0,22.0,3.0,577,6.0,20.0,570,20.0,6.0,596,596,28.0,28.0,25.0,22.0,3.0,16.0,19.0,3.0,577,6.0,20.0,2.0,3.0,,,505426.0,1407115.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-07T18:15:00.000-03:00:00,NE-MRBTS-621901,603,588.0,14.0,,591,4.0,14.0,585,14.0,4.0,603,603,18.0,18.0,14.0,14.0,,12.0,12.0,2.0,602,4.0,14.0,,,,,345030.0,958939.0,6.0,,,,,,,,11.0,,,,,,,,,,,,,,,,,
2025-05-07T18:30:00.000-03:00:00,NE-MRBTS-621901,615,597.0,17.0,1.0,614,1.0,15.0,599,15.0,1.0,615,615,17.0,17.0,18.0,17.0,1.0,11.0,14.0,3.0,618,1.0,15.0,3.0,1.0,,,151403.0,599472.0,15.0,,,,,,,,4.0,,,,,,,,,,,,,,,,,
2025-05-07T19:00:00.000-03:00:00,NE-MRBTS-621901,505,481.0,24.0,1.0,483,11.0,18.0,476,18.0,11.0,505,505,37.0,37.0,25.0,24.0,,28.0,21.0,3.0,487,11.0,18.0,3.0,,,1.0,407119.0,1498859.0,7.0,,,,,,,,4.0,,,,,,,,,,,,,,,,,
2025-05-07T19:15:00.000-03:00:00,NE-MRBTS-621901,547,523.0,21.0,2.0,517,10.0,28.0,509,28.0,10.0,547,547,39.0,38.0,23.0,21.0,1.0,22.0,18.0,3.0,530,10.0,28.0,5.0,4.0,,1.0,472998.0,995910.0,8.0,,,,,,1.0,1.0,13.0,,,,,,,,,,,,,,,,,
2025-05-07T19:30:00.000-03:00:00,NE-MRBTS-621901,542,521.0,19.0,,524,,24.0,518,24.0,,542,542,24.0,24.0,19.0,19.0,,12.0,17.0,2.0,528,,24.0,,1.0,,,116089.0,563582.0,5.0,,,,1.0,,,,4.0,,,,,,,,,,,,,,,,,
2025-05-07T20:00:00.000-03:00:00,NE-MRBTS-621901,476,444.0,26.0,4.0,440,9.0,30.0,437,30.0,9.0,476,476,43.0,43.0,30.0,26.0,2.0,30.0,21.0,5.0,442,9.0,30.0,6.0,4.0,,2.0,122365.0,791726.0,3.0,,,,,,,,2.0,,,,,,,,,,,,1.0,,,,,
2025-05-07T20:15:00.000-03:00:00,NE-MRBTS-621901,314,299.0,17.0,,305,4.0,11.0,299,11.0,4.0,314,314,15.0,15.0,17.0,17.0,,9.0,16.0,1.0,306,4.0,11.0,,,,,44054.0,339580.0,6.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,
2025-05-07T20:30:00.000-03:00:00,NE-MRBTS-621901,302,274.0,26.0,,281,9.0,20.0,273,20.0,9.0,302,302,32.0,32.0,26.0,26.0,,19.0,22.0,4.0,281,9.0,20.0,1.0,,,,255582.0,1693908.0,8.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,
2025-05-07T21:00:00.000-03:00:00,NE-MRBTS-621901,193,176.0,16.0,,179,5.0,12.0,176,12.0,5.0,193,193,18.0,18.0,16.0,16.0,,8.0,15.0,1.0,179,5.0,12.0,,,,,47467.0,363833.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-07T21:15:00.000-03:00:00,NE-MRBTS-621901,243,229.0,13.0,,238,5.0,7.0,231,7.0,5.0,243,241,13.0,13.0,13.0,13.0,,6.0,12.0,1.0,242,5.0,7.0,,,,,118751.0,685602.0,7.0,,,,,,,,4.0,,,2.0,,,,,,,,,,,,,,
2025-05-07T21:30:00.000-03:00:00,NE-MRBTS-621901,414,395.0,21.0,,402,7.0,11.0,396,11.0,7.0,414,414,19.0,19.0,21.0,21.0,,12.0,17.0,4.0,424,7.0,11.0,,,,,86313.0,800463.0,6.0,,,,,,,,22.0,,,,,,,,,,,,,,,,,
2025-05-07T22:00:00.000-03:00:00,NE-MRBTS-621901,337,321.0,14.0,,328,4.0,11.0,322,11.0,4.0,337,337,16.0,16.0,14.0,14.0,,10.0,13.0,1.0,332,4.0,11.0,,,,,220350.0,512160.0,6.0,,,,,,,,4.0,,,,,,,,,,,,,,,,,
2025-05-07T22:15:00.000-03:00:00,NE-MRBTS-621901,317,303.0,17.0,,306,6.0,8.0,303,8.0,6.0,317,317,14.0,14.0,17.0,17.0,,8.0,14.0,3.0,311,6.0,8.0,,,,,276594.0,954192.0,3.0,,,,,,,,5.0,,,,,,,,,,,,,,,,,
2025-05-07T22:30:00.000-03:00:00,NE-MRBTS-621901,392,372.0,18.0,,380,8.0,10.0,374,10.0,8.0,392,392,19.0,19.0,18.0,18.0,,12.0,17.0,1.0,387,8.0,10.0,,,,,55742.0,463270.0,6.0,,,,2.0,,,,7.0,,,,,,,,,,,,,,,,,
2025-05-07T23:00:00.000-03:00:00,NE-MRBTS-621901,355,339.0,15.0,,348,4.0,14.0,337,14.0,4.0,355,355,18.0,18.0,15.0,15.0,,12.0,15.0,,356,4.0,14.0,,,,,52578.0,472390.0,11.0,,,,,,,,8.0,,,,,,,,,,,,,,,,,
2025-05-07T23:15:00.000-03:00:00,NE-MRBTS-621901,371,359.0,12.0,,368,4.0,7.0,360,7.0,4.0,371,370,11.0,11.0,12.0,12.0,,5.0,11.0,1.0,370,4.0,7.0,,,,,94752.0,567577.0,8.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,
2025-05-07T23:30:00.000-03:00:00,NE-MRBTS-621901,399,383.0,14.0,,398,6.0,8.0,385,8.0,6.0,399,400,15.0,15.0,14.0,14.0,,9.0,13.0,1.0,402,6.0,8.0,,,,,43238.0,407536.0,13.0,,,,2.0,,,,4.0,,,,,,,,,,,,,,,,,
2025-05-08T00:00:00.000-03:00:00,NE-MRBTS-621901,290,277.0,13.0,,284,6.0,7.0,277,7.0,6.0,290,290,13.0,13.0,13.0,13.0,,7.0,11.0,2.0,290,6.0,7.0,,,,,823892.0,827842.0,7.0,,,,,,,,6.0,,,,,,,,,,,,,,,,,
2025-05-08T00:15:00.000-03:00:00,NE-MRBTS-621901,277,265.0,11.0,,269,4.0,8.0,265,8.0,4.0,277,277,12.0,12.0,11.0,11.0,,6.0,10.0,1.0,276,4.0,8.0,,,,,615391.0,1539521.0,4.0,,,,,,,,7.0,,,,,,,,,,,,,,,,,
2025-05-08T00:30:00.000-03:00:00,NE-MRBTS-621901,288,273.0,15.0,,284,4.0,10.0,274,10.0,4.0,288,288,15.0,15.0,15.0,15.0,,9.0,15.0,,285,4.0,10.0,1.0,,,,180476.0,1333167.0,10.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,
2025-05-08T01:00:00.000-03:00:00,NE-MRBTS-621901,279,262.0,15.0,,272,9.0,7.0,263,7.0,9.0,279,278,16.0,16.0,15.0,15.0,,10.0,15.0,,279,9.0,7.0,,,,,157608.0,1250109.0,9.0,,,,,,,,7.0,,,,,,,,,,,,,,,,,
2025-05-08T01:15:00.000-03:00:00,NE-MRBTS-621901,300,288.0,13.0,1.0,290,5.0,7.0,288,7.0,5.0,300,301,12.0,12.0,14.0,13.0,1.0,6.0,13.0,,290,5.0,7.0,2.0,1.0,,,197120.0,1083404.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-08T01:30:00.000-03:00:00,NE-MRBTS-621901,362,344.0,17.0,,356,6.0,10.0,346,10.0,6.0,362,362,17.0,17.0,17.0,17.0,,11.0,15.0,2.0,360,6.0,10.0,,,,,166447.0,1357005.0,10.0,,,,1.0,,,,4.0,,,,,,,,,,,,,,,,,
2025-05-08T02:00:00.000-03:00:00,NE-MRBTS-621901,320,285.0,36.0,,320,4.0,32.0,284,32.0,4.0,320,321,36.0,36.0,36.0,36.0,,10.0,21.0,15.0,326,4.0,32.0,,,,,241224.0,2619677.0,36.0,,,,,,,,6.0,,,,,,,,,,,,,,,,,
2025-05-08T02:15:00.000-03:00:00,NE-MRBTS-621901,264,246.0,19.0,,252,4.0,18.0,242,18.0,4.0,264,264,22.0,22.0,19.0,19.0,,9.0,14.0,5.0,258,4.0,18.0,,,,,230684.0,1806248.0,10.0,,,,,,,,6.0,,,,,,,,,,,,,,,,,
2025-05-08T02:30:00.000-03:00:00,NE-MRBTS-621901,223,208.0,14.0,,223,3.0,10.0,210,10.0,3.0,223,223,14.0,14.0,14.0,14.0,,8.0,13.0,1.0,235,3.0,10.0,,,,,155108.0,1250756.0,13.0,,,,1.0,,,,12.0,,,,,,,,,,,,,,,,,
2025-05-08T03:00:00.000-03:00:00,NE-MRBTS-621901,230,149.0,16.0,,173,,69.0,162,68.0,,179,164,17.0,17.0,16.0,16.0,,7.0,16.0,,173,,69.0,,,,,329556.0,1230999.0,11.0,,,,,,,,,,14.0,17.0,1.0,1.0,1.0,1.0,,,,,,,,,,
2025-05-08T03:15:00.000-03:00:00,NE-MRBTS-621901,256,237.0,15.0,4.0,249,3.0,12.0,241,12.0,3.0,256,256,15.0,15.0,19.0,15.0,4.0,7.0,14.0,1.0,254,3.0,12.0,22.0,8.0,,,151784.0,1314701.0,8.0,,,,,,,,5.0,,,,,,,,,,,,1.0,,,,,
2025-05-08T03:30:00.000-03:00:00,NE-MRBTS-621901,126,109.0,15.0,,110,7.0,11.0,108,11.0,7.0,126,126,18.0,18.0,15.0,15.0,,12.0,15.0,,111,7.0,11.0,,,,,170520.0,1444151.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,
2025-05-08T04:00:00.000-03:00:00,NE-MRBTS-621901,118,97.0,19.0,,108,1.0,18.0,99,18.0,1.0,118,118,21.0,21.0,19.0,19.0,,15.0,19.0,,108,1.0,18.0,,,,,194650.0,1439272.0,10.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,
2025-05-08T04:15:00.000-03:00:00,NE-MRBTS-621901,94,80.0,13.0,,96,2.0,10.0,82,10.0,2.0,94,92,12.0,12.0,13.0,13.0,,5.0,13.0,,97,2.0,10.0,,,,,153455.0,1145970.0,14.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,
2025-05-08T04:30:00.000-03:00:00,NE-MRBTS-621901,109,101.0,11.0,,109,2.0,8.0,99,8.0,2.0,109,111,11.0,11.0,11.0,11.0,,5.0,10.0,1.0,122,2.0,8.0,,,,,147940.0,1141556.0,10.0,,,,,,,,13.0,,,,,,,,,,,,,,,,,
2025-05-08T05:00:00.000-03:00:00,NE-MRBTS-621901,126,106.0,19.0,,109,3.0,15.0,108,15.0,3.0,126,126,19.0,19.0,19.0,19.0,,9.0,17.0,2.0,110,3.0,15.0,,,,,208925.0,1696376.0,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,
2025-05-08T05:15:00.000-03:00:00,NE-MRBTS-621901,135,121.0,11.0,1.0,124,2.0,12.0,121,12.0,2.0,135,135,14.0,14.0,12.0,11.0,1.0,6.0,10.0,1.0,125,2.0,12.0,,1.0,,,391381.0,2079333.0,3.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,
2025-05-08T05:30:00.000-03:00:00,NE-MRBTS-621901,183,164.0,15.0,3.0,170,6.0,13.0,164,13.0,6.0,183,183,19.0,19.0,18.0,15.0,1.0,11.0,12.0,3.0,171,6.0,13.0,8.0,2.0,,2.0,329198.0,2154011.0,5.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,
2025-05-08T06:00:00.000-03:00:00,NE-MRBTS-621901,236,219.0,15.0,,234,3.0,14.0,219,14.0,3.0,236,237,21.0,21.0,15.0,15.0,,14.0,14.0,1.0,236,3.0,14.0,,,,,751418.0,1920145.0,15.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,
2025-05-08T06:15:00.000-03:00:00,NE-MRBTS-621901,588,570.0,16.0,1.0,578,10.0,17.0,561,17.0,10.0,588,586,29.0,28.0,17.0,16.0,1.0,19.0,14.0,2.0,593,10.0,17.0,10.0,2.0,,,833614.0,3281430.0,17.0,,,,1.0,,1.0,1.0,15.0,,,,,,,,,,,,,,,,,
2025-05-08T06:30:00.000-03:00:00,NE-MRBTS-621901,614,595.0,15.0,4.0,621,7.0,12.0,595,12.0,7.0,614,616,20.0,20.0,19.0,15.0,2.0,10.0,14.0,1.0,644,7.0,12.0,9.0,4.0,1.0,1.0,1392695.0,2139442.0,26.0,,,,1.0,,,,23.0,,,,,,,,,,,,1.0,,,,,
2025-05-08T07:00:00.000-03:00:00,NE-MRBTS-621901,612,576.0,32.0,3.0,584,14.0,32.0,566,32.0,14.0,612,612,47.0,47.0,35.0,32.0,1.0,38.0,25.0,7.0,597,14.0,32.0,4.0,2.0,,1.0,2241613.0,3195562.0,18.0,,,,,,,,13.0,,,,,,,,,1.0,,,,,,,,
2025-05-08T07:15:00.000-03:00:00,NE-MRBTS-621901,562,508.0,38.0,9.0,512,15.0,55.0,492,55.0,15.0,562,561,84.0,83.0,47.0,38.0,4.0,71.0,34.0,4.0,512,15.0,55.0,16.0,6.0,5.0,,3239185.0,5167174.0,20.0,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,
2025-05-08T07:30:00.000-03:00:00,NE-MRBTS-621901,610,572.0,31.0,9.0,584,22.0,41.0,547,41.0,22.0,610,611,82.0,82.0,40.0,31.0,8.0,75.0,25.0,6.0,590,22.0,41.0,33.0,15.0,1.0,,3451811.0,6077007.0,37.0,,,,,,,,6.0,,,,,,,,,,,,1.0,,,,,
2025-05-08T08:00:00.000-03:00:00,NE-MRBTS-621901,580,530.0,34.0,15.0,557,26.0,31.0,523,31.0,26.0,580,580,70.0,70.0,49.0,34.0,14.0,60.0,27.0,7.0,580,26.0,31.0,23.0,14.0,1.0,,2247600.0,4379827.0,34.0,,,,,,,,23.0,,,,,,,,,,,,1.0,,,,,
2025-05-08T08:15:00.000-03:00:00,NE-MRBTS-621901,594,555.0,37.0,1.0,556,16.0,35.0,542,35.0,16.0,594,594,57.0,57.0,38.0,37.0,1.0,46.0,30.0,7.0,570,16.0,35.0,1.0,2.0,,,2933889.0,4106716.0,14.0,1.0,1.0,1.0,1.0,,,,14.0,,,,,,,,,,,,1.0,,,,,
2025-05-08T08:30:00.000-03:00:00,NE-MRBTS-621901,651,598.0,37.0,17.0,601,17.0,40.0,593,40.0,17.0,651,651,65.0,64.0,54.0,37.0,12.0,55.0,31.0,6.0,611,17.0,40.0,31.0,14.0,,4.0,2938543.0,4609945.0,8.0,1.0,1.0,1.0,,,1.0,1.0,10.0,,,,,,,,,1.0,,,2.0,,,,,
2025-05-08T09:00:00.000-03:00:00,NE-MRBTS-621901,742,704.0,35.0,2.0,710,18.0,24.0,700,24.0,18.0,742,742,43.0,43.0,37.0,35.0,1.0,36.0,28.0,7.0,717,18.0,24.0,5.0,2.0,,1.0,2538692.0,6630911.0,9.0,,,,,,,,7.0,,,,,,,,,,,,,,,,,
2025-05-08T09:15:00.000-03:00:00,NE-MRBTS-621901,763,716.0,41.0,4.0,713,20.0,38.0,705,38.0,20.0,763,763,63.0,63.0,45.0,41.0,4.0,57.0,34.0,7.0,727,20.0,38.0,3.0,4.0,,,2576092.0,5836049.0,9.0,,,,1.0,,,,14.0,,,,,,,,,,,,1.0,,,,,
2025-05-08T09:30:00.000-03:00:00,NE-MRBTS-621901,682,637.0,43.0,2.0,628,25.0,35.0,622,35.0,25.0,682,682,61.0,61.0,45.0,43.0,1.0,55.0,35.0,8.0,641,25.0,35.0,4.0,1.0,,1.0,2908179.0,6453028.0,6.0,,,,,,,,13.0,,,,,,,,,,,,,,,,,
2025-05-08T10:00:00.000-03:00:00,NE-MRBTS-621901,775,730.0,44.0,3.0,718,24.0,42.0,709,42.0,24.0,775,775,70.0,70.0,47.0,44.0,1.0,61.0,36.0,8.0,723,24.0,42.0,7.0,3.0,,2.0,2952675.0,6178094.0,9.0,,,,,,,,5.0,,,,,,,,,,,,,,,,,
2025-05-08T10:15:00.000-03:00:00,NE-MRBTS-621901,807,769.0,30.0,3.0,764,22.0,30.0,755,30.0,22.0,807,807,55.0,55.0,33.0,30.0,3.0,48.0,24.0,6.0,771,22.0,30.0,2.0,3.0,,,3533921.0,5427868.0,9.0,,,,1.0,,,,7.0,,,,,,,,,,,,,,,,,
2025-05-08T10:30:00.000-03:00:00,NE-MRBTS-621901,743,706.0,29.0,4.0,696,23.0,27.0,693,27.0,23.0,743,743,58.0,57.0,33.0,29.0,2.0,50.0,23.0,6.0,702,23.0,27.0,3.0,4.0,,2.0,3613240.0,5927253.0,3.0,,,,2.0,,1.0,1.0,6.0,,,,,,,,,,,,,,,,,
2025-05-08T11:00:00.000-03:00:00,NE-MRBTS-621901,733,686.0,45.0,4.0,686,24.0,25.0,684,25.0,24.0,733,733,50.0,50.0,49.0,45.0,2.0,40.0,38.0,7.0,691,24.0,25.0,3.0,2.0,,2.0,2064299.0,2676303.0,2.0,,,,,,,,5.0,,,,,,,,,,,,,,,,,
