createAt,manageObject,M8047C0,M8047C1,M8047C2,M8047C3,M8047C9,M8047C10,M8047C11,M8047C14,M8047C17,M8047C18,M8047C19,M8047C20,M8047C21,M8047C22,M8047C23,M8047C24,M8047C25,M8047C26,M8047C4,M8047C5,M8047C13,M8047C6,M8047C15,M8047C16
2025-05-08T13:45:00.000-04:00:00,NE-MRBTS-660701,865799176.0,28720656,136000.0,144759,9478.0,94431.0,40427,195.0,6318.0,1656.0,125907.0,75469,12421392.0,136273.0,129823.0,127489,1718888.0,166683.0,113684824.0,4340165,141.0,104986,39794.0,84472.0
2025-05-08T13:45:00.000-04:00:00,NE-MRBTS-660701,865799176.0,28720656,136000.0,144759,9478.0,94431.0,40427,195.0,6318.0,1656.0,125907.0,75469,12421392.0,136273.0,129823.0,127489,1718888.0,166683.0,113684824.0,4340165,141.0,104986,39794.0,84472.0
2025-05-08T13:45:00.000-04:00:00,NE-MRBTS-660701,865799176.0,28720656,136000.0,144759,9478.0,94431.0,40427,195.0,6318.0,1656.0,125907.0,75469,12421392.0,136273.0,129823.0,127489,1718888.0,166683.0,113684824.0,4340165,141.0,104986,39794.0,84472.0
2025-05-08T14:00:00.000-04:00:00,NE-MRBTS-660701,1634873520.0,48741896,221967.0,175696,9029.0,164216.0,67387,5351.0,5720.0,1733.0,209335.0,97803,13725104.0,148716.0,211818.0,160687,3394944.0,286848.0,211028443.0,7446210,333.0,169902,28325.0,66502.0
2025-05-08T14:00:00.000-04:00:00,NE-MRBTS-660701,1634873520.0,48741896,221967.0,175696,9029.0,164216.0,67387,5351.0,5720.0,1733.0,209335.0,97803,13725104.0,148716.0,211818.0,160687,3394944.0,286848.0,211028443.0,7446210,333.0,169902,28325.0,66502.0
2025-05-08T14:00:00.000-04:00:00,NE-MRBTS-660701,1634873520.0,48741896,221967.0,175696,9029.0,164216.0,67387,5351.0,5720.0,1733.0,209335.0,97803,13725104.0,148716.0,211818.0,160687,3394944.0,286848.0,211028443.0,7446210,333.0,169902,28325.0,66502.0
2025-05-08T14:00:00.000-04:00:00,NE-MRBTS-660701,1634873520.0,48741896,221967.0,175696,9029.0,164216.0,67387,5351.0,5720.0,1733.0,209335.0,97803,13725104.0,148716.0,211818.0,160687,3394944.0,286848.0,211028443.0,7446210,333.0,169902,28325.0,66502.0
2025-05-08T14:15:00.000-04:00:00,NE-MRBTS-660701,415106072.0,16229208,51886.0,74668,5926.0,45337.0,13279,5.0,3448.0,1186.0,48570.0,46618,9738008.0,88264.0,48643.0,69294,938488.0,107934.0,55635378.0,2391852,72.0,47157,32832.0,57342.0
2025-05-08T14:15:00.000-04:00:00,NE-MRBTS-660701,415106072.0,16229208,51886.0,74668,5926.0,45337.0,13279,5.0,3448.0,1186.0,48570.0,46618,9738008.0,88264.0,48643.0,69294,938488.0,107934.0,55635378.0,2391852,72.0,47157,32832.0,57342.0
2025-05-08T14:15:00.000-04:00:00,NE-MRBTS-660701,415106072.0,16229208,51886.0,74668,5926.0,45337.0,13279,5.0,3448.0,1186.0,48570.0,46618,9738008.0,88264.0,48643.0,69294,938488.0,107934.0,55635378.0,2391852,72.0,47157,32832.0,57342.0
2025-05-08T14:15:00.000-04:00:00,NE-MRBTS-660701,415106072.0,16229208,51886.0,74668,5926.0,45337.0,13279,5.0,3448.0,1186.0,48570.0,46618,9738008.0,88264.0,48643.0,69294,938488.0,107934.0,55635378.0,2391852,72.0,47157,32832.0,57342.0
2025-05-08T14:30:00.000-04:00:00,NE-MRBTS-660701,103860952.0,15725552,30705.0,110725,6619.0,17019.0,13864,5.0,4612.0,896.0,26916.0,74445,7364712.0,83606.0,27116.0,99573,470432.0,62852.0,14914501.0,2335000,471.0,30049,19117.0,49010.0
2025-05-08T14:30:00.000-04:00:00,NE-MRBTS-660701,103860952.0,15725552,30705.0,110725,6619.0,17019.0,13864,5.0,4612.0,896.0,26916.0,74445,7364712.0,83606.0,27116.0,99573,470432.0,62852.0,14914501.0,2335000,471.0,30049,19117.0,49010.0
2025-05-08T14:30:00.000-04:00:00,NE-MRBTS-660701,103860952.0,15725552,30705.0,110725,6619.0,17019.0,13864,5.0,4612.0,896.0,26916.0,74445,7364712.0,83606.0,27116.0,99573,470432.0,62852.0,14914501.0,2335000,471.0,30049,19117.0,49010.0
2025-05-08T14:30:00.000-04:00:00,NE-MRBTS-660701,103860952.0,15725552,30705.0,110725,6619.0,17019.0,13864,5.0,4612.0,896.0,26916.0,74445,7364712.0,83606.0,27116.0,99573,470432.0,62852.0,14914501.0,2335000,471.0,30049,19117.0,49010.0
2025-05-08T14:45:00.000-04:00:00,NE-MRBTS-660701,56737264.0,56783840,23444.0,148536,9320.0,16889.0,17428,315.0,7762.0,1285.0,18770.0,91641,9983384.0,137489.0,17920.0,120355,909344.0,108404.0,9130874.0,7583235,108.0,28699,32133.0,65842.0
2025-05-08T14:45:00.000-04:00:00,NE-MRBTS-660701,56737264.0,56783840,23444.0,148536,9320.0,16889.0,17428,315.0,7762.0,1285.0,18770.0,91641,9983384.0,137489.0,17920.0,120355,909344.0,108404.0,9130874.0,7583235,108.0,28699,32133.0,65842.0
2025-05-08T14:45:00.000-04:00:00,NE-MRBTS-660701,56737264.0,56783840,23444.0,148536,9320.0,16889.0,17428,315.0,7762.0,1285.0,18770.0,91641,9983384.0,137489.0,17920.0,120355,909344.0,108404.0,9130874.0,7583235,108.0,28699,32133.0,65842.0
2025-05-08T14:45:00.000-04:00:00,NE-MRBTS-660701,56737264.0,56783840,23444.0,148536,9320.0,16889.0,17428,315.0,7762.0,1285.0,18770.0,91641,9983384.0,137489.0,17920.0,120355,909344.0,108404.0,9130874.0,7583235,108.0,28699,32133.0,65842.0
2025-05-08T15:00:00.000-04:00:00,NE-MRBTS-660701,32835584.0,8340072,7149.0,72991,3907.0,7861.0,7013,13.0,3152.0,646.0,5527.0,48981,5114208.0,54434.0,5156.0,61438,481320.0,46038.0,5142712.0,1262781,77.0,11095,17450.0,34128.0
2025-05-08T15:00:00.000-04:00:00,NE-MRBTS-660701,32835584.0,8340072,7149.0,72991,3907.0,7861.0,7013,13.0,3152.0,646.0,5527.0,48981,5114208.0,54434.0,5156.0,61438,481320.0,46038.0,5142712.0,1262781,77.0,11095,17450.0,34128.0
2025-05-08T15:00:00.000-04:00:00,NE-MRBTS-660701,32835584.0,8340072,7149.0,72991,3907.0,7861.0,7013,13.0,3152.0,646.0,5527.0,48981,5114208.0,54434.0,5156.0,61438,481320.0,46038.0,5142712.0,1262781,77.0,11095,17450.0,34128.0
