createAt,manageObject,M8089C6,M8089C7,M8089C8,M8089C3,M8089C4,M8089C5
2025-05-07T11:15:00.000-04:00:00,NE-MRBTS-690501,17,17,13.0,,,
2025-05-07T11:15:00.000-04:00:00,NE-MRBTS-690501,17,17,13.0,,,
2025-05-07T11:15:00.000-04:00:00,NE-MRBTS-690501,17,17,13.0,,,
2025-05-07T11:30:00.000-04:00:00,NE-MRBTS-690501,20,20,12.0,,,
2025-05-07T11:30:00.000-04:00:00,NE-MRBTS-690501,20,20,12.0,,,
2025-05-07T11:30:00.000-04:00:00,NE-MRBTS-690501,20,20,12.0,,,
2025-05-07T11:30:00.000-04:00:00,NE-MRBTS-690501,20,20,12.0,,,
2025-05-07T12:00:00.000-04:00:00,NE-MRBTS-690501,26,26,15.0,,,
2025-05-07T12:00:00.000-04:00:00,NE-MRBTS-690501,26,26,15.0,,,
2025-05-07T12:00:00.000-04:00:00,NE-MRBTS-690501,26,26,15.0,,,
2025-05-07T12:00:00.000-04:00:00,NE-MRBTS-690501,26,26,15.0,,,
2025-05-07T12:15:00.000-04:00:00,NE-MRBTS-690501,35,35,24.0,,,
2025-05-07T12:15:00.000-04:00:00,NE-MRBTS-690501,35,35,24.0,,,
2025-05-07T12:15:00.000-04:00:00,NE-MRBTS-690501,35,35,24.0,,,
2025-05-07T12:15:00.000-04:00:00,NE-MRBTS-690501,35,35,24.0,,,
2025-05-07T12:30:00.000-04:00:00,NE-MRBTS-690501,18,18,11.0,,,
2025-05-07T12:30:00.000-04:00:00,NE-MRBTS-690501,18,18,11.0,,,
2025-05-07T12:30:00.000-04:00:00,NE-MRBTS-690501,18,18,11.0,,,
2025-05-07T12:30:00.000-04:00:00,NE-MRBTS-690501,18,18,11.0,,,
2025-05-07T13:00:00.000-04:00:00,NE-MRBTS-690501,15,15,12.0,,,
2025-05-07T13:00:00.000-04:00:00,NE-MRBTS-690501,15,15,12.0,,,
2025-05-07T13:00:00.000-04:00:00,NE-MRBTS-690501,15,15,12.0,,,
2025-05-07T13:00:00.000-04:00:00,NE-MRBTS-690501,15,15,12.0,,,
2025-05-07T13:15:00.000-04:00:00,NE-MRBTS-690501,25,25,17.0,,,
2025-05-07T13:15:00.000-04:00:00,NE-MRBTS-690501,25,25,17.0,,,
2025-05-07T13:15:00.000-04:00:00,NE-MRBTS-690501,25,25,17.0,,,
2025-05-07T13:15:00.000-04:00:00,NE-MRBTS-690501,25,25,17.0,,,
2025-05-07T13:30:00.000-04:00:00,NE-MRBTS-690501,32,31,20.0,,,
2025-05-07T13:30:00.000-04:00:00,NE-MRBTS-690501,32,31,20.0,,,
2025-05-07T13:30:00.000-04:00:00,NE-MRBTS-690501,32,31,20.0,,,
2025-05-07T13:30:00.000-04:00:00,NE-MRBTS-690501,32,31,20.0,,,
2025-05-07T14:00:00.000-04:00:00,NE-MRBTS-690501,29,29,28.0,,,
2025-05-07T14:00:00.000-04:00:00,NE-MRBTS-690501,29,29,28.0,,,
2025-05-07T14:00:00.000-04:00:00,NE-MRBTS-690501,29,29,28.0,,,
2025-05-07T14:00:00.000-04:00:00,NE-MRBTS-690501,29,29,28.0,,,
2025-05-07T14:15:00.000-04:00:00,NE-MRBTS-690501,33,33,30.0,,,
2025-05-07T14:15:00.000-04:00:00,NE-MRBTS-690501,33,33,30.0,,,
2025-05-07T14:15:00.000-04:00:00,NE-MRBTS-690501,33,33,30.0,,,
2025-05-07T14:15:00.000-04:00:00,NE-MRBTS-690501,33,33,30.0,,,
2025-05-07T14:30:00.000-04:00:00,NE-MRBTS-690501,64,64,56.0,,,
2025-05-07T14:30:00.000-04:00:00,NE-MRBTS-690501,64,64,56.0,,,
2025-05-07T14:30:00.000-04:00:00,NE-MRBTS-690501,64,64,56.0,,,
