createAt,manageObject,M8029C207,M8029C209,M8029C210,M8029C211,M8029C31,M8029C32,M8029C186,M8029C187,M8029C188,M8029C189,M8029C190,M8029C191,M8029C192,M8029C193,M8029C194,M8029C196,M8029C198,M8029C199,M8029C200,M8029C201,M8029C202,M8029C203,M8029C204,M8029C205,M8029C224,M8029C195,M8029C197,M8029C208
2025-05-07T06:45:00.000-04:00:00,NE-MRBTS-660701,13.0,124.0,1541.0,100,43.0,227.0,672.0,568.0,448.0,369.0,178.0,89.0,69.0,42.0,2.0,1.0,482.0,472.0,376.0,324.0,157.0,82.0,64.0,40.0,90000,1.0,1.0,
2025-05-07T07:00:00.000-04:00:00,NE-MRBTS-660701,16.0,80.0,1284.0,100,56.0,229.0,1079.0,1202.0,1191.0,1114.0,123.0,225.0,174.0,118.0,1.0,2.0,957.0,926.0,990.0,951.0,118.0,218.0,169.0,112.0,90000,2.0,3.0,
2025-05-07T07:15:00.000-04:00:00,NE-MRBTS-660701,22.0,67.0,516.0,100,36.0,173.0,376.0,496.0,465.0,383.0,100.0,96.0,69.0,54.0,1.0,2.0,273.0,389.0,390.0,319.0,85.0,83.0,59.0,51.0,90000,1.0,1.0,
2025-05-07T07:30:00.000-04:00:00,NE-MRBTS-660701,23.0,70.0,473.0,100,38.0,201.0,1321.0,1453.0,1402.0,1366.0,144.0,112.0,90.0,66.0,,3.0,1169.0,1335.0,1298.0,1298.0,142.0,102.0,86.0,62.0,90000,1.0,2.0,
2025-05-07T07:45:00.000-04:00:00,NE-MRBTS-660701,24.0,66.0,184.0,100,24.0,156.0,3695.0,4243.0,3550.0,3471.0,422.0,286.0,193.0,267.0,4.0,5.0,3240.0,3903.0,3311.0,3147.0,411.0,273.0,182.0,252.0,90000,9.0,7.0,
2025-05-07T08:00:00.000-04:00:00,NE-MRBTS-660701,23.0,55.0,129.0,100,21.0,128.0,2223.0,2553.0,2598.0,2570.0,259.0,240.0,207.0,287.0,3.0,14.0,1930.0,2264.0,2302.0,2204.0,241.0,211.0,182.0,266.0,90000,7.0,10.0,
2025-05-07T08:15:00.000-04:00:00,NE-MRBTS-660701,23.0,68.0,158.0,100,28.0,157.0,1568.0,1491.0,1169.0,846.0,141.0,138.0,108.0,75.0,,8.0,1409.0,1296.0,1009.0,735.0,139.0,127.0,88.0,74.0,90000,4.0,4.0,
2025-05-07T08:30:00.000-04:00:00,NE-MRBTS-660701,23.0,74.0,159.0,100,33.0,152.0,1375.0,1462.0,1491.0,1353.0,209.0,139.0,85.0,96.0,1.0,6.0,1160.0,1304.0,1378.0,1215.0,203.0,139.0,85.0,92.0,90000,5.0,10.0,
2025-05-07T08:45:00.000-04:00:00,NE-MRBTS-660701,23.0,70.0,144.0,100,22.0,137.0,982.0,1044.0,1040.0,940.0,208.0,172.0,134.0,135.0,2.0,,763.0,863.0,895.0,798.0,183.0,153.0,129.0,124.0,90000,,1.0,
2025-05-07T09:00:00.000-04:00:00,NE-MRBTS-660701,21.0,90.0,277.0,100,36.0,222.0,689.0,907.0,932.0,935.0,98.0,129.0,144.0,106.0,2.0,7.0,579.0,765.0,763.0,806.0,95.0,111.0,127.0,102.0,90000,2.0,1.0,
2025-05-07T09:15:00.000-04:00:00,NE-MRBTS-660701,22.0,81.0,471.0,100,29.0,196.0,980.0,1145.0,1072.0,918.0,152.0,182.0,120.0,116.0,1.0,1.0,820.0,954.0,933.0,779.0,136.0,160.0,113.0,114.0,90000,2.0,2.0,
2025-05-07T09:30:00.000-04:00:00,NE-MRBTS-660701,16.0,78.0,510.0,100,36.0,188.0,609.0,657.0,557.0,475.0,105.0,103.0,64.0,52.0,2.0,2.0,486.0,538.0,463.0,412.0,98.0,95.0,59.0,49.0,90000,,,
2025-05-07T09:45:00.000-04:00:00,NE-MRBTS-660701,18.0,68.0,1158.0,100,41.0,184.0,162.0,244.0,247.0,165.0,28.0,23.0,30.0,10.0,2.0,,122.0,214.0,214.0,154.0,21.0,16.0,25.0,9.0,90000,2.0,,
2025-05-07T10:00:00.000-04:00:00,NE-MRBTS-660701,23.0,81.0,220.0,100,21.0,166.0,624.0,755.0,631.0,512.0,115.0,148.0,124.0,95.0,1.0,,505.0,608.0,507.0,417.0,99.0,131.0,118.0,92.0,90000,2.0,,
2025-05-07T10:15:00.000-04:00:00,NE-MRBTS-660701,22.0,57.0,124.0,100,24.0,117.0,372.0,362.0,304.0,217.0,68.0,54.0,56.0,38.0,,2.0,304.0,303.0,240.0,179.0,62.0,49.0,55.0,34.0,90000,1.0,,
