createAt,manageObject,M8051C11,M8051C16,M8051C17,M8051C23,M8051C24,M8051C34,M8051C44,M8051C52,M8051C54,M8051C55,M8051C56,M8051C57,M8051C58,M8051C60,M8051C61,M8051C62,M8051C63,M8051C64,M8051C65,M8051C68,M8051C71,M8051C73,M8051C74,M8051C75,M8051C79,M8051C80,M8051C81,M8051C83,M8051C86,M8051C87,M8051C88,M8051C89,M8051C90,M8051C121,M8051C122,M8051C148,M8051C149,M8051C152,M8051C155,M8051C161,M8051C162,M8051C171,M8051C179,M8051C132,M8051C133,M8051C165,M8051C101,M8051C102,M8051C105,M8051C106,M8051C107,M8051C108,M8051C115,M8051C95,M8051C98,M8051C99,M8051C100,M8051C103,M8051C104,M8051C109,M8051C110,M8051C125,M8051C126,M8051C66,M8051C72,M8051C51,M8051C136,M8051C82,M8051C67,M8051C15,M8051C85,M8051C6,M8051C14,M8051C31,M8051C37,M8051C41,M8051C47,M8051C70,M8051C159,M8051C160,M8051C8,M8051C50,M8051C153,M8051C1,M8051C46,M8051C36,M8051C40,M8051C91,M8051C0,M8051C9,M8051C180,M8051C4
2025-05-06T18:15:00.000-03:00:00,NE-MRBTS-690204,1.0,,,2.0,1.0,1.0,1.0,2.0,38.0,11.0,16.0,11.0,15.0,10148.0,900,10007.0,900,11.0,11.0,1.0,38.0,,,,15.0,15.0,14.0,1.0,2.0,1.0,2.0,1.0,2.0,39.0,1.0,,,15.0,,2.0,,,,1134.0,17.0,17.0,138464.0,900000,89390.0,900000,112.0,7.0,112.0,900,101.0,82024.0,900000,66136.0,900000,101.0,3.0,149.0,9.0,10.0,1.0,,,,,,,,,10.0,,14.0,,,,,,,,,,,,,,,,
2025-05-06T18:30:00.000-03:00:00,NE-MRBTS-690204,1.0,,,,,1.0,1.0,,,11.0,18.0,11.0,18.0,10298.0,900,10196.0,900,11.0,11.0,1.0,,,,,18.0,18.0,17.0,1.0,,1.0,,,,,,,,18.0,,,,,,1149.0,18.0,18.0,114713.0,900000,75671.0,900000,112.0,7.0,112.0,900,101.0,29540.0,900000,27291.0,900000,101.0,2.0,139.0,8.0,10.0,1.0,,,,,,,,,10.0,,17.0,,,,,,,,,,,,,,,,
2025-05-06T19:00:00.000-03:00:00,NE-MRBTS-690204,1.0,,,1.0,,1.0,1.0,,3.0,11.0,17.0,11.0,17.0,10290.0,900,10225.0,900,11.0,11.0,1.0,3.0,,,,17.0,17.0,16.0,1.0,1.0,1.0,1.0,,1.0,3.0,,,,17.0,,,,,,1150.0,17.0,17.0,88260.0,900000,39567.0,900000,117.0,6.0,117.0,900,101.0,15519.0,900000,15398.0,900000,101.0,3.0,134.0,8.0,10.0,1.0,,,,,,,,,10.0,,16.0,1.0,,,,,,,,,,,,,,,
2025-05-06T19:15:00.000-03:00:00,NE-MRBTS-690204,1.0,,,,,1.0,1.0,,,12.0,17.0,12.0,17.0,10560.0,900,10505.0,900,12.0,12.0,1.0,,,,,17.0,17.0,16.0,1.0,,1.0,,,,,,,,17.0,,,,,,1183.0,17.0,17.0,84177.0,900000,45722.0,900000,109.0,6.0,109.0,900,100.0,13055.0,900000,14138.0,900000,100.0,2.0,135.0,7.0,11.0,1.0,,,,,,,,,11.0,,16.0,,,,,,,,,,,,,,,,
2025-05-06T19:30:00.000-03:00:00,NE-MRBTS-690204,1.0,,,,,1.0,1.0,,,13.0,18.0,12.0,18.0,11284.0,900,11217.0,900,12.0,12.0,1.0,,,,,18.0,18.0,17.0,1.0,,1.0,,,,,,,,18.0,,,,,,1259.0,18.0,18.0,79834.0,900000,28834.0,900000,118.0,7.0,118.0,900,101.0,13743.0,900000,14783.0,900000,101.0,3.0,138.0,8.0,12.0,1.0,,,,,,,,,12.0,,17.0,,,,,,,,,,,,,,,,
2025-05-06T20:00:00.000-03:00:00,NE-MRBTS-690204,1.0,,,,,1.0,1.0,,,11.0,16.0,11.0,16.0,9737.0,900,9660.0,900,11.0,11.0,1.0,,,,,16.0,16.0,15.0,1.0,,1.0,,,,,,,,16.0,,,,,,1088.0,16.0,16.0,97342.0,900000,59013.0,900000,114.0,7.0,114.0,900,100.0,75534.0,900000,52480.0,900000,100.0,3.0,132.0,7.0,10.0,1.0,,,,,,,,,10.0,,15.0,,,,,,,,,,,,,,,,
2025-05-06T20:15:00.000-03:00:00,NE-MRBTS-690204,1.0,,,1.0,,1.0,1.0,,3.0,11.0,15.0,11.0,15.0,9769.0,900,9705.0,900,11.0,11.0,1.0,3.0,,,,15.0,15.0,14.0,1.0,1.0,1.0,1.0,,1.0,3.0,,,,15.0,,,,,,1090.0,15.0,15.0,94063.0,900000,49619.0,900000,110.0,8.0,110.0,900,100.0,66915.0,900000,48283.0,900000,100.0,3.0,129.0,7.0,10.0,1.0,,,,,,,,,10.0,,14.0,1.0,,,,,,,,,,,,,,,
2025-05-06T20:30:00.000-03:00:00,NE-MRBTS-690204,1.0,,,,,1.0,1.0,,,11.0,17.0,10.0,14.0,9576.0,900,9386.0,900,10.0,10.0,1.0,,,,,14.0,14.0,13.0,1.0,,1.0,,,,,,,,14.0,,,,,,1071.0,18.0,18.0,165884.0,900000,131123.0,900000,108.0,6.0,108.0,900,100.0,54573.0,900000,26107.0,900000,100.0,2.0,136.0,10.0,9.0,1.0,,,,,,,,,9.0,,13.0,,,,,,,,,,,,,,,,
2025-05-06T21:00:00.000-03:00:00,NE-MRBTS-690204,1.0,,,1.0,,1.0,1.0,,22.0,11.0,16.0,11.0,16.0,9825.0,900,9757.0,900,11.0,11.0,1.0,22.0,,,,16.0,16.0,15.0,1.0,1.0,1.0,1.0,,1.0,22.0,,,,16.0,,,,,,1098.0,16.0,16.0,78739.0,900000,40091.0,900000,110.0,6.0,110.0,900,100.0,545112.0,900000,542441.0,900000,100.0,3.0,133.0,7.0,10.0,1.0,,,,,,,,,10.0,,14.0,1.0,,,,,,,,,,,,,,,
2025-05-06T21:15:00.000-03:00:00,NE-MRBTS-690204,1.0,,,,,1.0,1.0,,,11.0,16.0,11.0,14.0,9754.0,900,9680.0,900,11.0,11.0,1.0,,,,,14.0,14.0,13.0,1.0,,1.0,,,,,,,,14.0,,,,,,1088.0,16.0,16.0,82216.0,900000,44330.0,900000,116.0,8.0,116.0,900,100.0,902789.0,900000,904513.0,900000,100.0,4.0,135.0,9.0,10.0,1.0,,,,,,,,,10.0,,13.0,,,,,,,,,,,,,,,,
