createAt,manageObject,M8038C0,M8038C1,M8038C2,M8038C3,M8038C4,M8038C5,M8038C26,M8038C27,M8038C44,M8038C45,M8038C53,M8038C6,M8038C7,M8038C50,M8038C79,M8038C80,M8038C8,M8038C9,M8038C49,M8038C56,M8038C76,M8038C77
2025-05-08T07:00:00.000-03:00:00,NE-MRBTS-771801,2521.0,900,26977126.0,7968.0,1927679.0,750.0,10089600.0,11884.0,203767256.0,15819.0,2.0,39717.0,900000,365074.0,92.0,16.0,19925.0,900000,81575.0,100.0,95.0,5.0
2025-05-08T07:15:00.000-03:00:00,NE-MRBTS-771801,1376.0,900,13393672.0,5360.0,1733138.0,415.0,8761808.0,16459.0,94016960.0,9940.0,1.0,28385.0,900000,273278.0,92.0,12.0,33975.0,900000,68543.0,101.0,95.0,4.0
2025-05-08T07:30:00.000-03:00:00,NE-MRBTS-771801,1409.0,900,27532611.0,5558.0,3532497.0,911.0,22612024.0,44146.0,198004112.0,14381.0,,30103.0,900000,377754.0,92.0,17.0,81416.0,900000,359016.0,100.0,95.0,20.0
2025-05-08T08:00:00.000-03:00:00,NE-MRBTS-771801,2569.0,900,10903985.0,6826.0,15767111.0,727.0,122885032.0,420437.0,63775656.0,5474.0,,44698.0,900000,187768.0,92.0,8.0,423842.0,900000,2687329.0,101.0,95.0,155.0
2025-05-08T08:15:00.000-03:00:00,NE-MRBTS-771801,3140.0,900,121853715.0,7839.0,5802933.0,920.0,33970384.0,98144.0,935460304.0,98368.0,1.0,143389.0,900000,1986631.0,92.0,88.0,132301.0,900000,693328.0,103.0,95.0,40.0
2025-05-08T08:30:00.000-03:00:00,NE-MRBTS-771801,2607.0,900,42945640.0,6403.0,3690541.0,1900.0,23213536.0,64995.0,321786440.0,33133.0,4.0,58060.0,900000,763338.0,92.0,34.0,83412.0,900000,432420.0,102.0,95.0,25.0
2025-05-08T09:00:00.000-03:00:00,NE-MRBTS-771801,2566.0,900,9433381.0,6320.0,7488165.0,601.0,51820616.0,46883.0,52368832.0,5970.0,83.0,35780.0,900000,187558.0,92.0,8.0,62797.0,900000,296439.0,104.0,95.0,17.0
2025-05-08T09:15:00.000-03:00:00,NE-MRBTS-771801,1399.0,900,2669111.0,4848.0,2210634.0,800.0,14602272.0,8854.0,12668872.0,1857.0,,18905.0,900000,60859.0,92.0,3.0,12594.0,900000,69242.0,100.0,95.0,4.0
2025-05-08T09:30:00.000-03:00:00,NE-MRBTS-771801,2783.0,900,2689147.0,7743.0,1294485.0,2188.0,7154048.0,8217.0,12952760.0,1857.0,1.0,24679.0,900000,69342.0,92.0,3.0,19273.0,900000,57636.0,101.0,95.0,3.0
2025-05-08T10:00:00.000-03:00:00,NE-MRBTS-771801,3063.0,900,9616196.0,8898.0,2001291.0,1957.0,11734888.0,10259.0,64831768.0,5753.0,,45835.0,900000,149324.0,92.0,7.0,18962.0,900000,76715.0,101.0,95.0,4.0
2025-05-08T10:15:00.000-03:00:00,NE-MRBTS-771801,3572.0,900,65326807.0,7412.0,7353778.0,693.0,47114496.0,40102.0,490967288.0,37607.0,,71483.0,900000,900446.0,92.0,40.0,57525.0,900000,172600.0,101.0,95.0,10.0
2025-05-08T10:30:00.000-03:00:00,NE-MRBTS-771801,2943.0,900,18950260.0,6623.0,4054657.0,1888.0,26155768.0,23036.0,133696016.0,12373.0,,45318.0,900000,315434.0,92.0,14.0,35442.0,900000,142260.0,102.0,95.0,8.0
