createAt,manageObject,M8072C0,M8072C5,M8072C7,M8072C10,M8072C11,M8072C12,M8072C34,M8072C8,M8072C2,M8072C4,M8072C13
2025-05-08T12:45:00.000-04:00:00,NE-MRBTS-690501,31,4.0,2.0,30,21.0,1.0,965.0,,1.0,,
2025-05-08T13:00:00.000-04:00:00,NE-MRBTS-690501,21,2.0,,21,18.0,2.0,1028.0,,,,
2025-05-08T13:15:00.000-04:00:00,NE-MRBTS-690501,59,7.0,1.0,57,39.0,6.0,1346.0,,2.0,,
2025-05-08T13:30:00.000-04:00:00,NE-MRBTS-690501,7,,,7,7.0,1.0,891.0,,,,
2025-05-08T13:45:00.000-04:00:00,NE-MRBTS-690501,56,7.0,2.0,56,41.0,6.0,772.0,2.0,,,
2025-05-08T14:00:00.000-04:00:00,NE-MRBTS-690501,56,2.0,1.0,56,51.0,1.0,477.0,2.0,,,
2025-05-08T14:15:00.000-04:00:00,NE-MRBTS-690501,62,5.0,1.0,61,50.0,4.0,628.0,,1.0,,
2025-05-08T14:30:00.000-04:00:00,NE-MRBTS-690501,41,,,41,38.0,3.0,348.0,,,,
2025-05-08T14:45:00.000-04:00:00,NE-MRBTS-690501,63,6.0,,63,53.0,3.0,762.0,1.0,,,
2025-05-08T15:00:00.000-04:00:00,NE-MRBTS-690501,47,2.0,3.0,47,40.0,1.0,432.0,,,,
2025-05-08T15:15:00.000-04:00:00,NE-MRBTS-690501,57,4.0,3.0,57,49.0,,731.0,,,,1.0
2025-05-08T15:30:00.000-04:00:00,NE-MRBTS-690501,30,2.0,,30,25.0,1.0,833.0,,,,
2025-05-06T14:00:00.000-04:00:00,NE-MRBTS-690503,4,,,4,4.0,,135.0,,,,
2025-05-06T14:30:00.000-04:00:00,NE-MRBTS-690503,1,,,1,1.0,,136.0,,,,
2025-05-06T15:00:00.000-04:00:00,NE-MRBTS-690503,1,,,1,1.0,,129.0,,,,
2025-05-06T15:15:00.000-04:00:00,NE-MRBTS-690503,2,,,2,2.0,,399.0,,,,
2025-05-06T15:30:00.000-04:00:00,NE-MRBTS-690503,1,,,1,1.0,,123.0,,,,
2025-05-06T16:00:00.000-04:00:00,NE-MRBTS-690503,2,,,2,2.0,,513.0,,,,
2025-05-06T16:15:00.000-04:00:00,NE-MRBTS-690503,2,,,2,2.0,,133.0,,,,
2025-05-06T16:30:00.000-04:00:00,NE-MRBTS-690503,3,,,3,1.0,,280.0,,,,
2025-05-06T17:30:00.000-04:00:00,NE-MRBTS-690503,1,,,1,1.0,,1527.0,,,,
2025-05-06T18:00:00.000-04:00:00,NE-MRBTS-690503,6,,,6,6.0,,175.0,,,,
2025-05-06T18:15:00.000-04:00:00,NE-MRBTS-690503,5,,,5,5.0,,127.0,,,,
2025-05-06T18:30:00.000-04:00:00,NE-MRBTS-690503,1,,,1,1.0,,131.0,,,,
2025-05-06T18:45:00.000-04:00:00,NE-MRBTS-690503,2,,,2,2.0,,130.0,,,,
2025-05-06T19:00:00.000-04:00:00,NE-MRBTS-690503,2,,,2,2.0,,128.0,,,,
2025-05-06T19:15:00.000-04:00:00,NE-MRBTS-690503,1,,,1,1.0,,123.0,,,,
2025-05-06T21:15:00.000-04:00:00,NE-MRBTS-690503,1,,,1,,,,,,,
2025-05-07T02:00:00.000-04:00:00,NE-MRBTS-690503,1,,,1,1.0,,128.0,,,,
2025-05-07T02:30:00.000-04:00:00,NE-MRBTS-690503,2,,,2,2.0,,124.0,,,,
2025-05-07T04:00:00.000-04:00:00,NE-MRBTS-690503,1,,,1,1.0,,116.0,,,,
2025-05-07T04:15:00.000-04:00:00,NE-MRBTS-690503,1,,,1,1.0,,129.0,,,,
2025-05-07T04:30:00.000-04:00:00,NE-MRBTS-690503,2,,,2,2.0,,118.0,,,,
2025-05-07T05:00:00.000-04:00:00,NE-MRBTS-690503,1,,,1,1.0,,118.0,,,,
2025-05-07T06:00:00.000-04:00:00,NE-MRBTS-690503,2,,,2,2.0,,121.0,,,,
2025-05-07T07:30:00.000-04:00:00,NE-MRBTS-690503,1,,,1,,,,,,,
2025-05-07T08:00:00.000-04:00:00,NE-MRBTS-690503,3,,,3,3.0,,175.0,,,,
2025-05-07T09:00:00.000-04:00:00,NE-MRBTS-690503,2,,,2,2.0,,119.0,,,,
2025-05-07T09:15:00.000-04:00:00,NE-MRBTS-690503,2,,,2,2.0,,130.0,,,,
2025-05-07T09:30:00.000-04:00:00,NE-MRBTS-690503,1,,,1,,,,,,,
2025-05-07T10:00:00.000-04:00:00,NE-MRBTS-690503,1,,,1,1.0,,126.0,,,,
2025-05-07T10:15:00.000-04:00:00,NE-MRBTS-690503,1,,,1,1.0,,181.0,,,,
2025-05-07T10:30:00.000-04:00:00,NE-MRBTS-690503,2,,,2,1.0,,137.0,,,,
2025-05-07T11:15:00.000-04:00:00,NE-MRBTS-690503,14,,,14,14.0,,338.0,,,,
2025-05-07T11:30:00.000-04:00:00,NE-MRBTS-690503,2,,,2,2.0,,135.0,,,,
2025-05-07T12:00:00.000-04:00:00,NE-MRBTS-690503,2,,,2,2.0,,137.0,,,,
2025-05-07T12:15:00.000-04:00:00,NE-MRBTS-690503,5,,,5,5.0,,129.0,,,,
2025-05-07T12:30:00.000-04:00:00,NE-MRBTS-690503,11,,,11,11.0,,133.0,,,,
2025-05-07T13:00:00.000-04:00:00,NE-MRBTS-690503,5,,,5,5.0,,130.0,,,,
2025-05-07T13:15:00.000-04:00:00,NE-MRBTS-690503,1,,,1,1.0,,237.0,,,,
2025-05-07T14:00:00.000-04:00:00,NE-MRBTS-690503,2,,,2,2.0,,156.0,,,,
2025-05-07T14:15:00.000-04:00:00,NE-MRBTS-690503,2,,,2,2.0,,177.0,,,,
2025-05-07T14:30:00.000-04:00:00,NE-MRBTS-690503,1,,,1,1.0,,133.0,,,,
2025-05-07T16:00:00.000-04:00:00,NE-MRBTS-690503,3,1.0,,3,2.0,,133.0,,,,
2025-05-07T16:30:00.000-04:00:00,NE-MRBTS-690503,2,,,2,2.0,,174.0,,,,
2025-05-07T17:00:00.000-04:00:00,NE-MRBTS-690503,1,,,1,,,,,,,
2025-05-07T19:15:00.000-04:00:00,NE-MRBTS-690503,3,,,3,3.0,,126.0,,,,
