createAt,manageObject,M8049C0,M8049C1,M8049C2,M8049C3
2025-05-08T13:00:00.000-03:00:00,NE-MRBTS-414225,1,14.0,15.0,26.0
2025-05-08T13:15:00.000-03:00:00,NE-MRBTS-414225,1,1.0,1.0,2.0
2025-05-08T13:30:00.000-03:00:00,NE-MRBTS-414225,1,9.0,24.0,26.0
2025-05-08T13:45:00.000-03:00:00,NE-MRBTS-414225,1,129.0,103.0,232.0
2025-05-08T14:00:00.000-03:00:00,NE-MRBTS-414225,1,1.0,3.0,5.0
2025-05-08T14:15:00.000-03:00:00,NE-MRBTS-414225,1,7.0,3.0,11.0
2025-05-08T14:30:00.000-03:00:00,NE-MRBTS-414225,1,1.0,1.0,2.0
2025-05-08T14:45:00.000-03:00:00,NE-MRBTS-414225,1,5.0,3.0,9.0
2025-05-08T15:00:00.000-03:00:00,NE-MRBTS-414225,1,107.0,76.0,138.0
2025-05-08T15:15:00.000-03:00:00,NE-MRBTS-414225,1,26.0,21.0,48.0
2025-05-08T15:30:00.000-03:00:00,NE-MRBTS-414225,1,,,
2025-05-08T15:45:00.000-03:00:00,NE-MRBTS-414225,1,,,
2025-05-08T16:00:00.000-03:00:00,NE-MRBTS-414225,1,,,
2025-05-08T16:15:00.000-03:00:00,NE-MRBTS-414225,1,115.0,108.0,223.0
2025-05-08T16:30:00.000-03:00:00,NE-MRBTS-414225,1,121.0,102.0,223.0
2025-05-06T14:00:00.000-04:00:00,NE-MRBTS-690501,24,19246.0,5236.0,19715.0
2025-05-06T14:15:00.000-04:00:00,NE-MRBTS-690501,24,19105.0,5288.0,20580.0
2025-05-06T14:30:00.000-04:00:00,NE-MRBTS-690501,19,18068.0,3201.0,18756.0
2025-05-06T15:00:00.000-04:00:00,NE-MRBTS-690501,20,20484.0,1535.0,20845.0
2025-05-06T15:15:00.000-04:00:00,NE-MRBTS-690501,22,29959.0,11996.0,30484.0
2025-05-06T15:30:00.000-04:00:00,NE-MRBTS-690501,21,20474.0,778.0,20990.0
2025-05-06T16:00:00.000-04:00:00,NE-MRBTS-690501,23,18430.0,2352.0,18625.0
2025-05-06T16:15:00.000-04:00:00,NE-MRBTS-690501,19,13153.0,2476.0,13422.0
2025-05-06T16:30:00.000-04:00:00,NE-MRBTS-690501,15,11469.0,1794.0,11630.0
2025-05-06T16:45:00.000-04:00:00,NE-MRBTS-690501,14,12424.0,1212.0,12739.0
2025-05-06T17:00:00.000-04:00:00,NE-MRBTS-690501,14,16497.0,955.0,17161.0
2025-05-06T17:15:00.000-04:00:00,NE-MRBTS-690501,16,14061.0,1366.0,14482.0
2025-05-06T17:30:00.000-04:00:00,NE-MRBTS-690501,14,10871.0,1591.0,11608.0
2025-05-06T17:45:00.000-04:00:00,NE-MRBTS-690501,12,18009.0,1197.0,18404.0
2025-05-06T18:00:00.000-04:00:00,NE-MRBTS-690501,13,12938.0,1211.0,13729.0
2025-05-06T18:15:00.000-04:00:00,NE-MRBTS-690501,14,17854.0,10837.0,18200.0
2025-05-06T18:30:00.000-04:00:00,NE-MRBTS-690501,13,15427.0,753.0,16180.0
2025-05-06T18:45:00.000-04:00:00,NE-MRBTS-690501,12,23508.0,4550.0,24413.0
2025-05-06T19:00:00.000-04:00:00,NE-MRBTS-690501,11,18439.0,584.0,19023.0
2025-05-06T19:15:00.000-04:00:00,NE-MRBTS-690501,16,7307.0,15774.0,15971.0
2025-05-06T19:30:00.000-04:00:00,NE-MRBTS-690501,12,12606.0,1005.0,13204.0
2025-05-06T19:45:00.000-04:00:00,NE-MRBTS-690501,16,22230.0,14078.0,23844.0
2025-05-06T20:00:00.000-04:00:00,NE-MRBTS-690501,15,26339.0,20942.0,27301.0
2025-05-06T20:15:00.000-04:00:00,NE-MRBTS-690501,15,22929.0,7781.0,23471.0
2025-05-06T20:30:00.000-04:00:00,NE-MRBTS-690501,13,37444.0,1991.0,38726.0
2025-05-06T20:45:00.000-04:00:00,NE-MRBTS-690501,14,8456.0,1282.0,8915.0
2025-05-06T21:00:00.000-04:00:00,NE-MRBTS-690501,16,18711.0,2373.0,19159.0
2025-05-06T21:15:00.000-04:00:00,NE-MRBTS-690501,16,16590.0,2787.0,17815.0
2025-05-06T21:30:00.000-04:00:00,NE-MRBTS-690501,14,19408.0,4153.0,19798.0
2025-05-06T21:45:00.000-04:00:00,NE-MRBTS-690501,16,14253.0,830.0,14624.0
2025-05-06T22:00:00.000-04:00:00,NE-MRBTS-690501,17,13613.0,1168.0,14782.0
2025-05-06T22:15:00.000-04:00:00,NE-MRBTS-690501,19,12077.0,765.0,12479.0
2025-05-06T22:30:00.000-04:00:00,NE-MRBTS-690501,15,18497.0,1967.0,18879.0
2025-05-06T22:45:00.000-04:00:00,NE-MRBTS-690501,12,17484.0,1057.0,18205.0
2025-05-06T23:00:00.000-04:00:00,NE-MRBTS-690501,18,17335.0,878.0,18025.0
2025-05-06T23:15:00.000-04:00:00,NE-MRBTS-690501,17,16886.0,12724.0,17419.0
2025-05-06T23:30:00.000-04:00:00,NE-MRBTS-690501,18,16972.0,9940.0,17169.0
2025-05-06T23:45:00.000-04:00:00,NE-MRBTS-690501,21,11524.0,7443.0,12484.0
2025-05-07T00:00:00.000-04:00:00,NE-MRBTS-690501,18,19652.0,5969.0,20003.0
2025-05-07T00:15:00.000-04:00:00,NE-MRBTS-690501,17,18438.0,909.0,18936.0
2025-05-07T00:30:00.000-04:00:00,NE-MRBTS-690501,14,25523.0,1601.0,26201.0
2025-05-07T00:45:00.000-04:00:00,NE-MRBTS-690501,19,28959.0,1492.0,29607.0
2025-05-07T01:00:00.000-04:00:00,NE-MRBTS-690501,18,24572.0,9505.0,25170.0
2025-05-07T01:15:00.000-04:00:00,NE-MRBTS-690501,15,18108.0,867.0,18467.0
2025-05-07T01:30:00.000-04:00:00,NE-MRBTS-690501,15,13064.0,1112.0,13979.0
2025-05-07T01:45:00.000-04:00:00,NE-MRBTS-690501,16,14634.0,1015.0,14801.0
2025-05-07T02:00:00.000-04:00:00,NE-MRBTS-690501,15,20398.0,14104.0,23221.0
2025-05-07T02:15:00.000-04:00:00,NE-MRBTS-690501,13,26827.0,1494.0,28322.0
2025-05-07T02:30:00.000-04:00:00,NE-MRBTS-690501,15,27868.0,891.0,28563.0
2025-05-07T02:45:00.000-04:00:00,NE-MRBTS-690501,14,24018.0,3484.0,24547.0
2025-05-07T03:00:00.000-04:00:00,NE-MRBTS-690501,14,12544.0,711.0,12911.0
2025-05-07T03:15:00.000-04:00:00,NE-MRBTS-690501,12,335.0,123.0,459.0
2025-05-07T03:30:00.000-04:00:00,NE-MRBTS-690501,13,435.0,493.0,762.0
2025-05-07T04:00:00.000-04:00:00,NE-MRBTS-690501,11,306.0,221.0,459.0
