createAt,manageObject,M8006C0,M8006C1,M8006C53,M8006C54,M8006C196,M8006C214,M8006C232,M8006C254,M8006C255,M8006C256,M8006C180,M8006C185,M8006C243,M8006C6,M8006C247,M8006C7,M8006C313,M8006C339,M8006C340,M8006C262,M8006C263,M8006C264,M8006C346,M8006C205,M8006C223,M8006C347,M8006C259,M8006C246
2025-05-07T20:15:00.000-04:00:00,NE-MRBTS-660701,21.0,21.0,2130.0,900,21.0,21.0,5.0,21.0,21.0,,,902.0,,,,,,,,,,,,,,,,
2025-05-07T20:30:00.000-04:00:00,NE-MRBTS-660701,13.0,13.0,1998.0,900,13.0,13.0,4.0,13.0,13.0,,,1565.0,,,,,,,,,,,,,,,,
2025-05-07T20:45:00.000-04:00:00,NE-MRBTS-660701,12.0,12.0,1938.0,900,12.0,12.0,4.0,12.0,12.0,,,1668.0,,,,,,,,,,,,,,,,
2025-05-07T21:00:00.000-04:00:00,NE-MRBTS-660701,14.0,14.0,2107.0,900,14.0,14.0,5.0,14.0,14.0,,,1695.0,,,,,,,,,,,,,,,,
2025-05-07T21:15:00.000-04:00:00,NE-MRBTS-660701,23.0,23.0,1927.0,900,23.0,23.0,4.0,24.0,24.0,,,1010.0,,,,,,,,,,,,,,,,
2025-05-07T21:30:00.000-04:00:00,NE-MRBTS-660701,36.0,36.0,1914.0,900,36.0,36.0,4.0,35.0,35.0,,,392.0,,,,,,,,,,,,,,,,
2025-05-07T21:45:00.000-04:00:00,NE-MRBTS-660701,31.0,31.0,1659.0,900,31.0,31.0,4.0,31.0,30.0,1.0,,900.0,,,,,,,,,,,,,,,,
2025-05-07T22:00:00.000-04:00:00,NE-MRBTS-660701,27.0,27.0,1509.0,900,27.0,27.0,4.0,27.0,27.0,,,992.0,,,,,,,,,,,,,,,,
2025-05-07T22:15:00.000-04:00:00,NE-MRBTS-660701,23.0,23.0,1443.0,900,23.0,23.0,4.0,23.0,23.0,,,742.0,,,,,,,,,,,,,,,,
2025-05-07T22:30:00.000-04:00:00,NE-MRBTS-660701,48.0,48.0,1144.0,900,48.0,48.0,3.0,50.0,49.0,1.0,,89.0,,,,,,,,,,,,,,,,
2025-05-07T22:45:00.000-04:00:00,NE-MRBTS-660701,35.0,35.0,1368.0,900,35.0,35.0,3.0,34.0,34.0,,,151.0,,,,,,,,,,,,,,,,
2025-05-07T23:00:00.000-04:00:00,NE-MRBTS-660701,26.0,26.0,1608.0,900,26.0,26.0,4.0,25.0,25.0,,,198.0,,,,,,,,,,,,,,,,
2025-05-07T23:15:00.000-04:00:00,NE-MRBTS-660701,13.0,13.0,1681.0,900,13.0,13.0,4.0,14.0,14.0,,,169.0,,,,,,,,,,,,,,,,
2025-05-07T23:30:00.000-04:00:00,NE-MRBTS-660701,23.0,23.0,1456.0,900,23.0,23.0,3.0,22.0,22.0,,,145.0,,,,,,,,,,,,,,,,
2025-05-07T23:45:00.000-04:00:00,NE-MRBTS-660701,25.0,25.0,1474.0,900,25.0,25.0,3.0,25.0,25.0,,,142.0,,,,,,,,,,,,,,,,
2025-05-08T00:00:00.000-04:00:00,NE-MRBTS-660701,28.0,28.0,1521.0,900,28.0,28.0,3.0,28.0,28.0,,,130.0,,,,,,,,,,,,,,,,
2025-05-08T00:15:00.000-04:00:00,NE-MRBTS-660701,23.0,23.0,1437.0,900,23.0,23.0,3.0,24.0,24.0,,,172.0,,,,,,,,,,,,,,,,
2025-05-08T00:30:00.000-04:00:00,NE-MRBTS-660701,25.0,25.0,1395.0,900,25.0,25.0,3.0,24.0,24.0,,,131.0,,,,,,,,,,,,,,,,
2025-05-08T00:45:00.000-04:00:00,NE-MRBTS-660701,24.0,24.0,1306.0,900,24.0,24.0,3.0,24.0,24.0,,,112.0,,,,,,,,,,,,,,,,
2025-05-08T01:00:00.000-04:00:00,NE-MRBTS-660701,24.0,24.0,1339.0,900,24.0,24.0,3.0,25.0,25.0,,,149.0,,,,,,,,,,,,,,,,
